N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
1707,Data Scientist / Data Analyst,Java,,1.5,меньше 3 месяцев,2700,300,Львов,до 50 человек,Стартап,мужской,35,Высшее,ЛНУ им. Франко,False,выше среднего,"Корпоративные системы,Другое",12/06/2017 22:47:41,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.0,2700,,,2700.0
2912,DevOps,Golang,,8,меньше 3 месяцев,7000,5500,Киев,до 200 человек,Аутсорсинговая,мужской,29,Незаконченное высшее,Другой вуз,False,средний,Телекоммуникации,13/06/2017 13:29:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",8.0,0.0,7000,,ADM,7000.0
6713,ERP / CRM,PHP,,2,1,2000,1000,Черкассы,до 10 человек,Другая,мужской,29,Незаконченное высшее,Другой вуз,True,средний,"Веб-разработка,eCommerce",25/06/2017 14:21:44,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,2000,,,2000.0
2050,HTML coder,JavaScript,,1,0.5,400,200,Львов,до 50 человек,Аутсорсинговая,мужской,24,Высшее,Львовская Политехника,False,ниже среднего,Веб-разработка,13/06/2017 09:31:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,400,,,457.0
2937,HTML coder,JavaScript,,1,0.5,400,100,Ровно,до 200 человек,Аутсорсинговая,мужской,36,Высшее,Другой вуз,False,средний,"Веб-разработка,eCommerce",13/06/2017 13:37:55,"Mozilla/5.0 (Linux; Android 5.0.2; Lenovo A6010 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.5,400,,,457.0
3098,HTML coder,JavaScript,,2,1,600,350,Одесса,до 10 человек,Продуктовая,мужской,25,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,13/06/2017 14:30:48,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,600,,,457.0
4316,HTML coder,JavaScript,,0.5,0.5,385,0,Киев,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,Другой вуз,False,средний,Веб-разработка,15/06/2017 10:59:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,385,,,457.0
6305,HTML coder,PHP,,4,меньше 3 месяцев,500,-300,Киев,до 10 человек,Продуктовая,мужской,30,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",21/06/2017 21:36:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,500,,,457.0
7,Junior Software Engineer,C#/.NET,,1,меньше 3 месяцев,600,100,Хмельницкий,до 50 человек,Аутсорсинговая,мужской,23,Высшее,ХНУ [г. Хмельницкий],False,ниже среднего,Веб-разработка,12/06/2017 13:04:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,600,,DEV,605.65859375
9,Junior Software Engineer,Java,,0.5,0.5,550,550,Харьков,свыше 1000 человек,Аутсорсинговая,женский,23,Высшее,ХНУ им. Каразина,False,средний,Веб-разработка,12/06/2017 13:04:28,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,550,,DEV,605.65859375
18,Junior Software Engineer,C#/.NET,,1,1,574,274,Киев,до 10 человек,Стартап,мужской,23,Высшее,НАУ,False,продвинутый,"Gamedev,Другое",12/06/2017 13:07:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,574,,DEV,605.65859375
36,Junior Software Engineer,Java,,1,1,350,350,Ужгород,до 50 человек,Аутсорсинговая,мужской,26,Высшее,Другой вуз,False,выше среднего,,12/06/2017 13:08:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,1.0,350,,DEV,605.65859375
41,Junior Software Engineer,Swift,,3,1.5,450,150,Другой,до 10 человек,Продуктовая,мужской,27,Высшее,ХНУРЭ,False,ниже среднего,iOS,12/06/2017 13:09:06,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,450,,DEV,605.65859375
48,Junior Software Engineer,Ruby/Rails,,0.5,0.5,350,150,Львов,до 50 человек,Аутсорсинговая,мужской,26,Высшее,Львовская Политехника,False,средний,Веб-разработка,12/06/2017 13:09:34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,350,,DEV,605.65859375
61,Junior Software Engineer,JavaScript,,1,10 и более лет,700,0,Харьков,до 1000 человек,Аутсорсинговая,мужской,40,Высшее,ХАИ,False,средний,Веб-разработка,12/06/2017 13:10:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,10.0,700,,DEV,605.65859375
75,Junior Software Engineer,PHP,,0.25,меньше 3 месяцев,230,58,Полтава,до 10 человек,Продуктовая,мужской,27,Техникум / Колледж,,False,ниже среднего,"Веб-разработка,Системное программирование",12/06/2017 13:11:42,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.25,0.0,230,,DEV,605.65859375
83,Junior Software Engineer,JavaScript,,0.5,0.5,300,100,Львов,до 10 человек,Аутсорсинговая,мужской,17,Среднее,,False,средний,Веб-разработка,12/06/2017 13:12:05,"Mozilla/5.0 (Linux; Android 7.0; SM-G925F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,300,,DEV,605.65859375
85,Junior Software Engineer,C,,2,1,400,0,Харьков,до 10 человек,Аутсорсинговая,мужской,26,Высшее,ХНУРЭ,False,средний,Embedded,12/06/2017 13:12:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,400,,DEV,605.65859375
